Reporting year,Commitment date (dd-mm-yyyy),Reporting country / organisation,Extending agency,CRS Identification N°,Donor project N°,Nature of submission,Recipient country,Channel of delivery name,Channel code,Bi/Multi,Type of flow (main DAC 1 category),Type of finance,Type of aid,Short description / Project title,Sector / Purpose code,Geographical target area,Expected starting date ,Expected completion date,Description,Gender equality,Aid to environment,PD/GG,Trade Development,FTC,PBA,Investment,AF,Biodiversity,Climate change - mitigation,Climate change - adaptation,Desertification,Currency,Commitments,Amounts extended,USD_commitment in millions,USD_disbursement in millions,ODA grant equivalent,Amounts received (for loans: only principal),Amount untied,Amount partially untied,Amount tied,Amount of IRTC,"** If project type, amount of experts-commitments","** If project type, amount of experts-extended",Amount of export credit,Leveraging mechanism and role/position,Amounts mobilised from the private sector,Origin of the funds mobilised,"Type (EPP:1,annuity:2,lump sum:3,other:5)",Number of repayment per annum,Interest rate,Second interest rate,First repayment date (dd-mm-yyyy),Final repayment date (dd-mm-yyyy),Interest received,Principal disbursed and still outstanding,Arrears of principal (included in item 51),Arrears of interest,RMNCH,Capital Expenditure % (Voluntary),Discount Rate,GE,
2016,01/01/2016,21,1,2016001334,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,"Civil Society Programme Funding: Communities lead actions to protect children and t heir mothers from harmful prac tices, abuse, injury and disea",12261,,01/01/2016,31/12/2016,"Civil Society Programme Funding: Communities lead actions to protect children and their mothers from harmful practices, abuse, injury and disease",1,0,1,,,1,,,0,0,0,0,918,12.682,12.682, 0.01 , 0.01 ,,,12.682,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001357,B2PROGRAM-CSFPRGFND,8,285,World Vision Ireland,21502,7,10,110,B01,"Civil Society Programme Funding: Communities lead actions to protect children and t heir mothers from harmful prac tices, abuse, injury and disea",12261,,01/01/2016,31/12/2016,"Civil Society Programme Funding: Communities lead actions to protect children and their mothers from harmful practices, abuse, injury and disease",1,0,1,,,1,,,0,0,0,0,918,20.873,20.873, 0.02 , 0.02 ,,,20.873,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001073,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children are exclusively breast fed for the first 6 months of life,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children are exclusively breast fed for the first6 months of life,1,0,0,,,1,,,0,0,0,0,918,7.763,7.763, 0.01 , 0.01 ,,,7.763,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001154,B2PROGRAM-CSFPRGFND,8,256,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children are exclusively breast fed for the first 6 months of life,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children are exclusively breast fed for the first6 months of life,1,0,0,,,1,,,0,0,0,0,918,11.287,11.287, 0.01 , 0.01 ,,,11.287,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001237,B2PROGRAM-CSFPRGFND,8,272,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children are exclusively breast fed for the first 6 months of life,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children are exclusively breast fed for the first6 months of life,1,0,0,,,1,,,0,0,0,0,918,11.826,11.826, 0.01 , 0.01 ,,,11.826,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001326,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children are exclusively breast fed for the first 6 months of life,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children are exclusively breast fed for the first6 months of life,1,0,0,,,1,,,0,0,0,0,918,12.111,12.111, 0.01 , 0.01 ,,,12.111,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001349,B2PROGRAM-CSFPRGFND,8,285,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children are exclusively breast fed for the first 6 months of life,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children are exclusively breast fed for the first6 months of life,1,0,0,,,1,,,0,0,0,0,918,19.813,19.813, 0.02 , 0.02 ,,,19.813,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001520,B2PROGRAM-CSFPRGFND,8,998,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Parents and caregivers have improved health seekin g behaviour,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Parents and caregivers have improved health seekin g behaviour,1,0,1,,,1,,,0,0,0,0,918,1.844,1.844, 0.00 , 0.00 ,,,1.844,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001259,B2PROGRAM-CSFPRGFND,8,272,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Improved water and sanitation access and practices at household level,1,1,1,,,1,,,1,0,0,0,918,17.683,17.683, 0.02 , 0.02 ,,,17.683,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001333,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Improved water and sanitation access and practices at household level,1,1,1,,,1,,,1,0,0,0,918,17.917,17.917, 0.02 , 0.02 ,,,17.917,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001514,B2PROGRAM-CSFPRGFND,8,998,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children are exclusively breast fed for the first 6 months of life,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children are exclusively breast fed for the first 6 months of life,1,0,0,,,1,,,0,0,0,0,918,1.805,1.805, 0.00 , 0.00 ,,,1.805,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001356,B2PROGRAM-CSFPRGFND,8,285,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,1,1,1,,,1,,,1,0,0,0,918,27.737,27.737, 0.03 , 0.03 ,,,27.737,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001521,B2PROGRAM-CSFPRGFND,8,998,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,1,1,1,,,1,,,1,0,0,0,918,2.698,2.698, 0.00 , 0.00 ,,,2.698,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001080,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Improved water and sanitation access and practices at household level,1,1,1,,,1,,,1,0,0,0,918,10.655,10.655, 0.01 , 0.01 ,,,10.655,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001161,B2PROGRAM-CSFPRGFND,8,256,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Improved water and sanitation access and practices  at household level,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Improved water and sanitation access and practices at household level,1,1,1,,,1,,,1,0,0,0,918,17.466,17.466, 0.02 , 0.02 ,,,17.466,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001522,B2PROGRAM-CSFPRGFND,8,998,World Vision Ireland,21502,7,10,110,B01,"Civil Society Programme Funding: Communities lead actions to protect children and t heir mothers from harmful prac tices, abuse, injury and disea",12261,,01/01/2016,31/12/2016,"Civil Society Programme Funding: Communities lead actions to protect children and t heir mothers from harmful prac tices, abuse, injury and disea",1,0,1,,,1,,,0,0,0,0,918,1.782,1.782, 0.00 , 0.00 ,,,1.782,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016002080,B4RESNUT-HUNGHQ002,8,998,Emergency Nutrition Network,21000,3,10,110,B01,GLOBAL HUNGER: CORE CONTRIBUTION TO ENN IRISH AID REF: 2016/RESNUT/ENN/001,12240,,01/01/2016,31/12/2016,GLOBAL HUNGER: CORE CONTRIBUTION TO ENN IRISH AID REF: 2016/RESNUT/ENN/001,1,,1,,,,,,,,,,918,260,260, 0.29 , 0.29 ,,,260,,,,,,,,,,,,,,,,,,,,2,,,,
2016,01/01/2016,21,1,2016001074,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Pregnant women and children 6-23 months have a diverse and adequate diet with vitamin intake,1,0,1,,,1,,,0,0,0,0,918,10.644,10.644, 0.01 , 0.01 ,,,10.644,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001239,B2PROGRAM-CSFPRGFND,8,272,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children under 2 show adequate and appropriate gro wth (weight and height for age ),12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children under 2 show adequate and appropriate growth (weight and height for age),1,0,1,,,1,,,0,0,0,0,918,15.961,15.961, 0.02 , 0.02 ,,,15.961,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001328,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children under 2 show adequate and appropriate gro wth (weight and height for age ),12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children under 2 show adequate and appropriate growth (weight and height for age),1,0,1,,,1,,,0,0,0,0,918,16.095,16.095, 0.02 , 0.02 ,,,16.095,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001155,B2PROGRAM-CSFPRGFND,8,256,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Pregnant women and children 6-23 months have a diverse and adequate diet with vitamin intake,1,0,1,,,1,,,0,0,0,0,918,17.436,17.436, 0.02 , 0.02 ,,,17.436,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001238,B2PROGRAM-CSFPRGFND,8,272,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Pregnant women and children 6-23 months have a diverse and adequate diet with vitamin intake,1,0,1,,,1,,,0,0,0,0,918,17.581,17.581, 0.02 , 0.02 ,,,17.581,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001327,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Pregnant women and children 6-23 months have a diverse and adequate diet with vitamin intake,1,0,1,,,1,,,0,0,0,0,918,17.865,17.865, 0.02 , 0.02 ,,,17.865,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001077,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Community groups promoting locally appropriate and sustainable approaches to improved nutrition,1,1,1,,,1,,,1,0,1,1,918,10.148,10.148, 0.01 , 0.01 ,,,10.148,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001158,B2PROGRAM-CSFPRGFND,8,256,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Community groups promoting locally appropriate and sustainable approaches to improved nutrition,1,1,1,,,1,,,1,0,1,1,918,16.822,16.822, 0.02 , 0.02 ,,,16.822,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001256,B2PROGRAM-CSFPRGFND,8,272,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Community groups promoting locally appropriate and sustainable approaches to improved nutrition,1,1,1,,,1,,,1,0,1,1,918,16.952,16.952, 0.02 , 0.02 ,,,16.952,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001330,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Community groups promoting locally appropriate and sustainable approaches to improved nutrition,1,1,1,,,1,,,1,0,1,1,918,17.294,17.294, 0.02 , 0.02 ,,,17.294,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001350,B2PROGRAM-CSFPRGFND,8,285,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,1,0,1,,,1,,,0,0,0,0,918,27.798,27.798, 0.03 , 0.03 ,,,27.798,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001515,B2PROGRAM-CSFPRGFND,8,998,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Pregnant women and children 6-23 months have a div erse and adequate diet with vi tamin intake,1,0,1,,,1,,,0,0,0,0,918,2.671,2.671, 0.00 , 0.00 ,,,2.671,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001353,B2PROGRAM-CSFPRGFND,8,285,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,1,1,1,,,1,,,1,0,1,1,918,26.738,26.738, 0.03 , 0.03 ,,,26.738,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001518,B2PROGRAM-CSFPRGFND,8,998,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Community groups promoting locally appropriate and  sustainable approaches to imp roved nutrition,1,1,1,,,1,,,1,0,1,1,918,2.694,2.694, 0.00 , 0.00 ,,,2.694,,,,,,,,,,,,,,,,,,,,3,,,,
2016,01/01/2016,21,1,2016001075,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children under 2 show adequate and appropriate gro wth (weight and height for age ),12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children under 2 show adequate and appropriate growth (weight and height for age),1,0,1,,,1,,,0,0,0,0,918,9.383,9.383, 0.01 , 0.01 ,,,9.383,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001156,B2PROGRAM-CSFPRGFND,8,256,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Children under 2 show adequate and appropriate gro wth (weight and height for age ),12240,,01/01/2016,31/12/2016,Civil Society Programme Funding: Children under 2 show adequate and appropriate growth (weight and height for age),1,0,1,,,1,,,0,0,0,0,918,15.688,15.688, 0.02 , 0.02 ,,,15.688,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001079,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Parents and caregivers have improved health seekin g behaviour,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Parents and caregivers have improved health seeking behaviour,1,0,1,,,1,,,0,0,0,0,918,8.874,8.874, 0.01 , 0.01 ,,,8.874,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001160,B2PROGRAM-CSFPRGFND,8,256,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Parents and caregivers have improved health seekin g behaviour,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Parents and caregivers have improved health seeking behaviour,1,0,1,,,1,,,0,0,0,0,918,12.882,12.882, 0.01 , 0.01 ,,,12.882,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001258,B2PROGRAM-CSFPRGFND,8,272,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Parents and caregivers have improved health seekin g behaviour,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Parents and caregivers have improved health seeking behaviour,1,0,1,,,1,,,0,0,0,0,918,13.431,13.431, 0.01 , 0.01 ,,,13.431,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001332,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Parents and caregivers have improved health seekin g behaviour,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Parents and caregivers have improved health seeking behaviour,1,0,1,,,1,,,0,0,0,0,918,13.604,13.604, 0.02 , 0.02 ,,,13.604,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001355,B2PROGRAM-CSFPRGFND,8,285,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Parents and caregivers have improved health seekin g behaviour,12261,,01/01/2016,31/12/2016,Civil Society Programme Funding: Parents and caregivers have improved health seeking behaviour,1,0,1,,,1,,,0,0,0,0,918,22.319,22.319, 0.02 , 0.02 ,,,22.319,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016002025,B4ESSHEA-HEAHQ001,8,998,The Britain Nepal Medical Trust,21000,3,10,110,B01,HEALTH HQ - GENERAL: PDP FUNDERS GROUP 2016 PAYMENT,12110,,01/01/2016,31/12/2016,HEALTH HQ - GENERAL: PDP FUNDERS GROUP 2016 PAYMENT,0,,,,,,,,,,,,918,25,25, 0.03 , 0.03 ,,,25,,,,,,,,,,,,,,,,,,,,0,,,,
2016,01/01/2016,21,1,2016001082,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Women give birth with support of a skilled birth a ttendant,12220,,01/01/2016,31/12/2016,Civil Society Programme Funding: Women give birth with support of a skilled birth attendant,1,0,1,,,1,,,0,0,0,0,918,9.177,9.177, 0.01 , 0.01 ,,,9.177,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001163,B2PROGRAM-CSFPRGFND,8,256,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Women give birth with support of a skilled birth a ttendant,12220,,01/01/2016,31/12/2016,Civil Society Programme Funding: Women give birth with support of a skilled birth attendant,1,0,1,,,1,,,0,0,0,0,918,14.743,14.743, 0.02 , 0.02 ,,,14.743,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001261,B2PROGRAM-CSFPRGFND,8,272,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Women give birth with support of a skilled birth a ttendant,12220,,01/01/2016,31/12/2016,Civil Society Programme Funding: Women give birth with support of a skilled birth attendant,1,0,1,,,1,,,0,0,0,0,918,14.932,14.932, 0.02 , 0.02 ,,,14.932,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001335,B2PROGRAM-CSFPRGFND,8,282,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Women give birth with support of a skilled birth a ttendant,12220,,01/01/2016,31/12/2016,Civil Society Programme Funding: Women give birth with support of a skilled birth attendant,1,0,1,,,1,,,0,0,0,0,918,15.324,15.324, 0.02 , 0.02 ,,,15.324,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001523,B2PROGRAM-CSFPRGFND,8,998,World Vision Ireland,21502,7,10,110,B01,Civil Society Programme Funding: Women give birth with support of a skilled birth a ttendant,12220,,01/01/2016,31/12/2016,Civil Society Programme Funding: Women give birth with support of a skilled birth a ttendant,1,0,1,,,1,,,0,0,0,0,918,2.378,2.378, 0.00 , 0.00 ,,,2.378,,,,,,,,,,,,,,,,,,,,4,,,,
2016,01/01/2016,21,1,2016001083,B2PROGRAM-CSFPRGFND,8,248,World Vision Ireland,21502,7,10,110,B01,"Civil Society Programme Funding: Pregnant women, mothers and young children access essential MNCH services",12220,,01/01/2016,31/12/2016,"Civil Society Programme Funding: Pregnant women, mothers and young children accessessential MNCH services",1,0,1,,,1,,,0,0,0,0,918,9.48,9.48, 0.01 , 0.01 ,,,9.48,,,,,,,,,,,,,,,,,,,,4,,,,
