iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,reporting-org-type-code,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org-type-code (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org-type-code (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org-type-code (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),participating-org-type-code (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,sector-vocabulary-code,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
XM-DAC-21-1-2015B1MALOB1CPNMALOB1IPDFC,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Crop Productivity And Nutrition increased production diversified food crops ,,2,,2015-12-31,2015-04-24,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,MWI,,,,,,31150,Agricultural inputs,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHOB5IMHETHOB5HREGP,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Improved Maternal Health project health support ,,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB3ECOUGAOB3TLINK,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objective 3: Greater Economic Opportunities In Uganda Traidlinks,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHOB5IMHETHOB5HMDG,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Improved Maternal Health Health MDG Performance Fund,,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1TANGBIPTANINPT,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Institutional Partnership,,2,,2015-12-31,2015-03-31,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,TZA,,,,,,31110,Agricultural policy and administrative management,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1TANOB1EPASTANOB1SHPE,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,To incr efficiency & productivity in agriculture  Value Chain Development ,,2,,2015-12-31,2015-03-31,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,TZA,,,,,,31194,Agricultural co-operatives,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4ESSEDU,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Essential Services  - Education,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB2SSDUGAOB2BKA,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objectiive 2; Social Service Delivery Bursaries Karamoja/Acholi ,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,15170,"Women’s rights organisations and movements, and government institutions",,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015D1EDF,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,European Development Fund,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,2,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHOB3CPAETHOB3CSORE,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Civil Society & Accountability CSO Research ,,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB1GOVUGAOB1ATJ,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objective 1: Improved Governance access to justice ,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,15150,Democratic participation and civil society,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB2SSDUGAOB2HIVUN,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objectiive 2; Social Service Delivery UN Coor response to HIV,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,11320,Secondary education,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B2ELECT,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Election Monitoring,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHOB2RLCETHOB2CLIMA,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Rural Livelihoods & Climate Response to Climate Change,,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ZIMPADMADMMISS,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,"Programme Administration, Support & Devt",,2,,2015-12-31,2015-06-23,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZWE,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4GEN,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Gender Equality & WomenŐs Empowerment,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1SLE,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Sierra Leone Country Programme,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1VIEOB1PRPZZ,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Poverty Reduction Programmes,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015E1UNVOL,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Voluntary Contributions to UN Agencies,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,2,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4FELLOW,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Fellowships,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4RESCLM,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Resilience - Climate Change,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1LESZZ,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Lesotho Programme Support ,,2,,2015-12-31,2015-06-23,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,LSO,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B3REC,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Recovery Assistance,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1RSAOB1ICLZZ,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,"Intergrated Serv At Community-Gbv,Hiv&Aids And Tb",,2,,2015-12-31,2015-06-23,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZAF,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1LIB,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Liberia Country Programme,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B2DEVEDU,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Development Education,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B7WLDBK,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Support to World Bank,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,2,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B3STAB,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Stability Fund,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4AFRICA,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Africa Strategy  / Trade,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1PAA,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Palestine Administered Area programme support costs ,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1MALOB3IEGEMALOB3SGS,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Governance Enviroment,,2,,2015-12-31,2015-04-24,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,MWI,,,,,,15112,Decentralisation and support to subnational government,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1VIEOB3KEGZZ,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Knowledge Exchange & Governance,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4IECAGR,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Inclusive Economic Growth - Agriculture,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1MALOB2SHRMALOB2IASS,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Strengthen Household Resilience access to social supports,,2,,2015-12-31,2015-04-24,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,MWI,,,,,,15112,Decentralisation and support to subnational government,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAPSDPSDMICRO,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Program Management,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHPSDADMMONT,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,"Programme Quality, Support & Devt",,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4RESDRP,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Resilience- Disaster Risk Recovery,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB2SSDUGAOB2KPEP,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objectiive 2; Social Service Delivery Karamoja Primary Education Programme ,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,11120,Education facilities and training,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B4RESENV,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Resilience - Environment,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B6RESCH,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Research,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015C1NGOS,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Emergency Humanitarian  Assist- NGOs and Red Cross,,2,,2015-12-31,2015-02-11,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZZ,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1RSAPADMADMMISS,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Programme Man-Quality & Support,,2,,2015-12-31,2015-06-23,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ZAF,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB2SSDUGAOB2SESEM,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objectiive 2; Social Service Delivery SESEMAT,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,16010,Social Protection,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
